languageid,language
1,English
2,Swahili
3,French
4,German
5,Hebrew
6,Arabic
7,Latin
8,Italian
9,Hindi
10,Mandarin
11,Spanish
12,Cantonese
13,Korean
14,Turkish
15,Romanian
16,Polish
17,Armenian
18,Vietnamese
19,Greek
20,
21,Micmac
22,Japanese
23,Portuguese
24,Punjabi
25,Tibetan
26,Dutch
27,Urdu
28,Swedish
29,Finnish
30,Hungarian
31,Russian
32,Somali
33,Quechua
34,Mapudungun
35,Icelandic
36,Hokkien
37,Malay
38,Indonesian
39,Persian
40,Sindarin
41,Old English
42,Quenya
43,Chaozhou
44,Ukrainian
45,Estonian
46,Norwegian
